time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1964.625,759.125,1434.625,1668.75,1809.375,2466.875,243,1344.5,1867.5,1499.75,36.78,43.7
0.1,1964.75,759.125,1434.5,1669.125,1809.5,2467,243,1345,1867.625,1500.125,36.81,43.69
0.2,1964.75,759.125,1434.5,1669.5,1809.5,2467,243.125,1345.5,1867.875,1500.5,36.78,43.75
0.3,1964.875,759.125,1434.5,1670,1809.625,2467.125,242.875,1345.875,1868.125,1500.875,36.82,43.76
0.4,1965,759.125,1434.5,1670.375,1809.75,2467.125,243.125,1346.375,1868.375,1501.25,36.79,43.73
0.5,1965,759,1434.5,1670.75,1809.75,2467.125,243.125,1346.75,1868.625,1501.625,36.81,43.74
0.6,1965.125,759.125,1434.625,1671.125,1809.875,2467.25,242.875,1347.25,1868.875,1501.875,36.79,43.72
0.7,1965.125,759.125,1434.625,1671.5,1809.875,2467.25,243,1347.625,1869.125,1502.25,36.78,43.75
0.8,1965.25,759.125,1434.625,1671.875,1810,2467.375,242.875,1348,1869.375,1502.625,36.79,43.72
0.9,1965.25,759.125,1434.625,1672.375,1810,2467.25,243,1348.5,1869.5,1502.875,36.76,43.73
1.0,1965.375,759.125,1434.625,1672.625,1810.125,2467.375,242.875,1348.875,1869.75,1503.25,36.82,43.72
1.1,1965.375,759.125,1434.5,1673,1810.125,2467.375,242.875,1349.25,1870,1503.625,36.81,43.75
1.2,1965.5,759.125,1434.625,1673.375,1810.25,2467.375,242.875,1349.625,1870.25,1503.875,36.82,43.74
1.3,1965.625,759.125,1434.625,1673.75,1810.125,2467.375,243.125,1350.125,1870.375,1504.125,36.82,43.76
1.4,1965.625,759.125,1434.625,1674.125,1810.25,2467.5,243,1350.375,1870.625,1504.5,36.81,43.71
1.5,1965.625,759.125,1434.625,1674.5,1810.25,2467.5,243,1350.75,1870.875,1504.875,36.81,43.77
1.6,1965.75,759.125,1434.5,1674.75,1810.375,2467.375,243,1351.125,1871,1505.125,36.81,43.78
1.7,1965.75,759,1434.5,1675.125,1810.375,2467.5,243,1351.5,1871.25,1505.375,36.78,43.78
1.8,1966,759.125,1434.625,1675.5,1810.375,2467.5,243.125,1351.875,1871.5,1505.75,36.82,43.77
1.9,1966,759.125,1434.5,1675.875,1810.375,2467.5,243,1352.125,1871.625,1506,36.83,43.74
2.0,1966,759.125,1434.5,1676.125,1810.375,2467.5,243,1352.5,1871.75,1506.25,36.82,43.8
2.1,1966.125,759.125,1434.5,1676.5,1810.375,2467.5,243,1352.875,1872,1506.375,36.81,43.78
2.2,1966.125,759.125,1434.625,1676.75,1810.375,2467.5,242.875,1353.25,1872.125,1506.625,36.83,43.78
2.3,1966.25,759.25,1434.625,1677.125,1810.375,2467.5,243,1353.5,1872.375,1506.875,36.83,43.77
2.4,1966.375,759.125,1434.5,1677.375,1810.375,2467.5,243,1353.875,1872.5,1507.25,36.81,43.77
2.5,1966.375,759.125,1434.5,1677.625,1810.375,2467.5,243,1354.125,1872.75,1507.5,36.81,43.77
2.6,1966.5,759.25,1434.5,1678,1810.375,2467.5,243,1354.5,1872.875,1507.75,36.79,43.73
2.7,1966.5,759.25,1434.625,1678.25,1810.5,2467.5,243,1354.75,1873.125,1508,36.85,43.74
2.8,1966.625,759.125,1434.625,1678.5,1810.5,2467.5,242.875,1355,1873.25,1508.25,36.81,43.8
2.9,1966.625,759.125,1434.625,1678.875,1810.5,2467.5,243,1355.25,1873.375,1508.375,36.79,43.79
3.0,1966.75,759.125,1434.625,1679.125,1810.375,2467.5,242.875,1355.625,1873.625,1508.625,36.82,43.77
